;;;;;;;;;;;
;;;;;;;;;;;
115;123;;79;27;;170;90;;154;10;
115;133,5;;79;34,5;;170;98;;154;18;
126;123;;89;27;;178;90;;162;10;
126;133,5;6;89;34,5;13,5;178;98;2;162;18;5
;;;;;;;;;;;
98;126;;57;117;;104;38;;142;137;
98;136,5;;57;124,5;;104;46;;142;145;
109;126;;67;117;;112;38;;150;137;
109;136,5;6;67;124,5;18,68;112;46;9;150;145;15
;;;;;;;;;;;
7;126;;106;55;;48;18;;155;23;
7;136,5;;106;62,5;;48;26;;155;31;
18;126;;116;55;;56;18;;163;23;
18;136,5;7;116;62,5;9;56;26;18;163;31;5
;;;;;;;;;;;
;;;54;53;;75;48;;72;91;
;;;54;60,5;;75;56;;72;99;
;;;64;53;;83;48;;80;91;
;;;64;60,5;11;83;56;11;80;99;10
;;;;;;;;;;;
;;;117;74;;54;84;;131;48;
;;;117;81,5;;54;92;;131;56;
;;;127;74;;62;84;;139;48;
;;;127;81,5;11,54;62;92;10;139;56;15
;;;;;;;;;;;
;;;;;;5;86;;88;148;
;;;;;;5;94;;88;156;
;;;;;;13;86;;96;148;
;;;;;;13;94;5;96;156;4
