large "[{'y': 161, 'x': 32}, {'y': 56, 'x': 8}, {'y': 108, 'x': 6}]"
medium "[{'y': 39, 'x': 70}, {'y': 17, 'x': 105}, {'y': 143, 'x': 82}, {'y': 63, 'x': 87}, {'y': 124, 'x': 51}]"
little "[{'y': 105, 'x': 32}, {'y': 111, 'x': 100}, {'y': 32, 'x': 98}, {'y': 61, 'x': 98}, {'y': 102, 'x': 61}, {'y': 86, 'x': 17}, {'y': 168, 'x': 121}, {'y': 76, 'x': 124}, {'y': 80, 'x': 39}, {'y': 151, 'x': 129}, {'y': 46, 'x': 96}, {'y': 103, 'x': 104}]"
